index,time_s,wavelength_nm,A_main_real,A_main_imag,A_aux_real,A_aux_imag,main_spectrum_db,aux_spectrum_db,param_wl_center_nm,param_FSR_main,param_FSR_aux,param_coupling_ring_bus,param_coupling_ring_ring,param_coupling_ring_drop,param_gamma,param_alpha_int_main,param_alpha_int_aux,param_beta_2,param_intensity_in,param_detuning_main,param_detuning_aux,param_detuning_step,param_nrt,param_n_per_step,param_n_small_time
0,-2.5e-12,1560.0,0.6726813,-0.6964431,-0.71157753,0.8227875,38.52231293823359,30.83008630527209,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0864,0.3783,0.0001,1000,5,512
1,-2.4902153e-12,1558.3812,0.18150552,-0.9447713,-0.773163,0.6497185,28.059265718953927,17.094306648002945,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0864,0.3783,0.0001,1000,5,512
2,-2.4804306e-12,1556.766,-0.38777962,-0.9067348,-0.7246211,0.36766067,24.712559908016324,11.363579890018112,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0864,0.3783,0.0001,1000,5,512
3,-2.4706459e-12,1555.1539,-0.99180126,-0.35149226,-0.55663264,0.10688323,23.724473727487982,8.564644589765138,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0864,0.3783,0.0001,1000,5,512
4,-2.4608612e-12,1553.5453,-1.7548258,0.64546984,-0.3695778,-0.058898278,23.023664101614965,6.428174244118981,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0864,0.3783,0.0001,1000,5,512
5,-2.4510762e-12,1551.9401,-2.6210692,1.643329,-0.2526617,-0.17842735,22.67598887205484,4.919149859434317,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0864,0.3783,0.0001,1000,5,512
6,-2.4412915e-12,1550.338,-3.243487,2.259671,-0.20119892,-0.33925492,22.42268843079149,3.712856118674374,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0864,0.3783,0.0001,1000,5,512
7,-2.4315068e-12,1548.7393,-3.2843194,2.4924212,-0.15056452,-0.48995623,22.199748006982176,2.6874752226536174,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0864,0.3783,0.0001,1000,5,512
8,-2.4217221e-12,1547.1439,-2.7128985,2.5738301,-0.07329479,-0.482226,21.994880620126082,1.8146854186019468,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0864,0.3783,0.0001,1000,5,512
9,-2.4119374e-12,1545.5518,-1.8405268,2.6240618,-0.056389693,-0.25934917,21.783979645347,1.0707576033781834,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0864,0.3783,0.0001,1000,5,512
10,-2.4021527e-12,1543.9629,-1.0670161,2.479328,-0.20652427,0.052048452,21.55389727075161,0.3570834828655869,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0864,0.3783,0.0001,1000,5,512
11,-2.392368e-12,1542.3774,-0.5341602,1.9013869,-0.45878866,0.29606742,21.295809545307783,-0.22116093210497212,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0864,0.3783,0.0001,1000,5,512
12,-2.382583e-12,1540.795,-0.10287925,0.92243123,-0.640376,0.4243355,21.001294477933346,-0.8106524408501627,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0864,0.3783,0.0001,1000,5,512
13,-2.3727984e-12,1539.2158,0.34331408,-0.052516434,-0.7026153,0.49439424,20.68296908971788,-1.332994418302114,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0864,0.3783,0.0001,1000,5,512
14,-2.3630136e-12,1537.64,0.6360512,-0.6023287,-0.7552777,0.5731365,20.356027791994364,-1.735862988857562,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0864,0.3783,0.0001,1000,5,512
15,-2.353229e-12,1536.0674,0.51007247,-0.6774343,-0.8576771,0.6361506,20.087207577458578,-2.080604695187823,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0864,0.3783,0.0001,1000,5,512
16,-2.3434442e-12,1534.4979,-0.03974576,-0.52585834,-0.9662176,0.5953858,19.840468243030685,-2.302635851407203,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0864,0.3783,0.0001,1000,5,512
17,-2.3336595e-12,1532.9318,-0.7070242,-0.30778566,-0.9721717,0.4335417,19.525539279091316,-2.496175864809686,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0864,0.3783,0.0001,1000,5,512
18,-2.3238748e-12,1531.3689,-1.2196944,0.074832425,-0.8204425,0.2289879,19.09461795305118,-2.769394566844227,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0864,0.3783,0.0001,1000,5,512
19,-2.3140901e-12,1529.809,-1.6094247,0.71732867,-0.57545483,0.07687297,18.555216784773407,-3.0129609553623453,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0864,0.3783,0.0001,1000,5,512
20,-2.3043054e-12,1528.2522,-2.0346928,1.444151,-0.3558477,-0.031191055,17.944902823617575,-3.3229871104067925,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0864,0.3783,0.0001,1000,5,512
21,-2.2945205e-12,1526.6989,-2.4473786,1.9280612,-0.23371358,-0.1689767,17.32254731600092,-3.5141394254013036,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0864,0.3783,0.0001,1000,5,512
22,-2.2847358e-12,1525.1484,-2.6343143,2.029371,-0.17556313,-0.33212522,16.7011912398779,-3.5897166252113664,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0864,0.3783,0.0001,1000,5,512
23,-2.274951e-12,1523.6012,-2.4683208,1.9054939,-0.106349476,-0.38758808,16.05976170373657,-3.591093320618384,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0864,0.3783,0.0001,1000,5,512
24,-2.2651664e-12,1522.0573,-2.0712566,1.7846844,-0.07364461,-0.25162357,15.368852951439479,-3.5034477144591207,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0864,0.3783,0.0001,1000,5,512
25,-2.2553816e-12,1520.5164,-1.7026712,1.7023609,-0.18886264,0.00907051,14.580004257105852,-3.3996387644459176,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0864,0.3783,0.0001,1000,5,512
26,-2.245597e-12,1518.9785,-1.4570858,1.4916563,-0.4418686,0.24921481,13.655437645104016,-3.2026935856527956,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0864,0.3783,0.0001,1000,5,512
27,-2.2358122e-12,1517.4438,-1.1706455,1.053497,-0.6724527,0.3738468,12.555278554980017,-2.9728622094712662,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0864,0.3783,0.0001,1000,5,512
28,-2.2260273e-12,1515.9121,-0.645813,0.5568794,-0.7975,0.42211103,11.206984688323903,-2.6123029664336954,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0864,0.3783,0.0001,1000,5,512
29,-2.2162426e-12,1514.3835,0.0057726027,0.282925,-0.86948204,0.48858473,9.503687507627696,-2.123294165305566,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0864,0.3783,0.0001,1000,5,512
30,-2.2064579e-12,1512.8583,0.4003163,0.26226965,-0.95242625,0.57522964,7.228470716626813,-1.3555693111054055,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0864,0.3783,0.0001,1000,5,512
31,-2.1966732e-12,1511.3359,0.31399724,0.2719182,-1.0477062,0.6021095,4.057769445607992,0.35402010146850316,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0864,0.3783,0.0001,1000,5,512
32,-2.1868885e-12,1509.8164,-0.11037705,0.15195024,-1.0731953,0.4977934,-6.576999950030412,2.0965677253816395,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0864,0.3783,0.0001,1000,5,512
33,-2.1771038e-12,1508.3003,-0.5999198,0.05034153,-0.9550212,0.29950252,5.8110802538824124,7.707707496856276,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0864,0.3783,0.0001,1000,5,512
34,-2.167319e-12,1506.787,-1.0879939,0.24056879,-0.7178638,0.11239017,24.44249270389919,18.61235621342001,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0864,0.3783,0.0001,1000,5,512
35,-2.1575344e-12,1505.2769,-1.6903528,0.7418692,-0.47664273,-0.0014325082,14.05853461169998,4.174351704640568,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0864,0.3783,0.0001,1000,5,512
36,-2.1477496e-12,1503.7698,-2.3873928,1.2623751,-0.34385702,-0.098487675,13.063655829077263,0.5225902141297247,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0864,0.3783,0.0001,1000,5,512
37,-2.1379647e-12,1502.2656,-2.941879,1.5342392,-0.3004033,-0.20307733,11.638616580795855,-2.8820836239823606,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0864,0.3783,0.0001,1000,5,512
38,-2.12818e-12,1500.7644,-3.106965,1.5796506,-0.24206449,-0.24901566,10.36784927943674,-5.682723369204567,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0864,0.3783,0.0001,1000,5,512
39,-2.1183953e-12,1499.2662,-2.86299,1.6125208,-0.16533926,-0.15015826,8.737825476487025,-8.582539820175306,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0864,0.3783,0.0001,1000,5,512
40,-2.1086106e-12,1497.7711,-2.4177933,1.7409687,-0.19821475,0.06722264,7.021065366223457,-11.32264233098396,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0864,0.3783,0.0001,1000,5,512
41,-2.0988259e-12,1496.2789,-1.9821216,1.802106,-0.38344878,0.28588334,5.0946790119772345,-14.118702836673798,1560.0,200000000000.0,206000000000.0,0.0124,0.024,0.00783,1.229,8.643,4.321,4e-26,0.3,0.0864,0.3783,0.0001,1000,5,512
